algorithm,inference,start_position,refine_iters,exec_horizon,checkpoint,metric,mean,std,n_trials,is_best
q3c,argmax_fallback,bottom_right,5,4,S02_shared_k16_s29,dist,6.955,2.5244,2,yes
q3c,argmax_fallback,bottom_right,5,8,S02_shared_k16_s29,dist,15.375,19.2828,2,
q3c,argmax_fallback,turned_left,5,1,S02_shared_k16_s29,dist,15.39,18.0171,2,
q3c,argmax_fallback,turned_left,5,2,S02_shared_k16_s29,dist,23.175,18.9151,2,
q3c,argmax_fallback,turned_left,5,4,S02_shared_k16_s29,dist,12.665,0.5728,2,yes
q3c,argmax_fallback,turned_left,5,8,S02_shared_k16_s29,dist,23.25,7.8489,2,
q3c,argmax_fallback,turned_right,5,1,S02_shared_k16_s29,dist,7.48,5.5154,2,
q3c,argmax_fallback,turned_right,5,2,S02_shared_k16_s29,dist,3.885,1.393,2,yes
q3c,argmax_fallback,turned_right,5,4,S02_shared_k16_s29,dist,6.725,2.284,2,
q3c,argmax_fallback,turned_right,5,8,S02_shared_k16_s29,dist,26.14,24.0841,2,
q3c,argmax_fallback,upside_down,5,1,S02_shared_k16_s29,dist,22.59,19.1343,2,
q3c,argmax_fallback,upside_down,5,2,S02_shared_k16_s29,dist,7.055,2.5244,2,
q3c,argmax_fallback,upside_down,5,4,S02_shared_k16_s29,dist,6.955,2.5244,2,yes
q3c,argmax_fallback,upside_down,5,8,S02_shared_k16_s29,dist,15.375,19.2828,2,
q3c,dfo,top,5,1,S02_shared_k16_s29,dist,2.875,1.5486,2,
q3c,dfo,top,5,2,S02_shared_k16_s29,dist,2.71,0.7637,2,yes
q3c,dfo,top,5,4,S02_shared_k16_s29,dist,4.095,2.8072,2,
q3c,dfo,top,5,8,S02_shared_k16_s29,dist,3.11,0.7637,2,
q3c,dfo,bottom,5,1,S02_shared_k16_s29,dist,3.94,0.2404,2,yes
q3c,dfo,bottom,5,2,S02_shared_k16_s29,dist,4.435,0.997,2,
q3c,dfo,bottom,5,4,S02_shared_k16_s29,dist,4.38,0.9899,2,
q3c,dfo,bottom,5,8,S02_shared_k16_s29,dist,7.42,0.3253,2,
q3c,dfo,left,5,1,S02_shared_k16_s29,dist,4.77,1.4708,2,yes
q3c,dfo,left,5,2,S02_shared_k16_s29,dist,4.915,1.2374,2,
q3c,dfo,left,5,4,S02_shared_k16_s29,dist,13.17,9.5035,2,
