algorithm,inference,start_position,refine_iters,exec_horizon,checkpoint,metric,mean,std,n_trials,is_best
q3c,dfo,turned_left,5,1,L2c_ch16_scratch,cam1,0.6448,0.0858,3,
q3c,dfo,turned_left,10,1,L2c_ch16_scratch,cam1,0.7096,0.0509,3,yes
q3c,dfo,turned_left,20,1,L2c_ch16_scratch,cam1,0.677,0.0426,3,
q3c,dfo,turned_left,50,1,L2c_ch16_scratch,cam1,0.6718,0.0482,2,
q3c,dfo,turned_right,5,1,L2c_ch16_scratch,cam1,0.8145,0.157,4,
q3c,dfo,turned_right,10,1,L2c_ch16_scratch,cam1,0.9568,0.0244,3,yes
q3c,dfo,turned_right,20,1,L2c_ch16_scratch,cam1,0.792,0.0903,3,
q3c,dfo,turned_right,50,1,L2c_ch16_scratch,cam1,0.9142,0.0289,3,
q3c,dfo,upside_down,5,1,L2c_ch16_scratch,cam1,0.4837,0.1007,3,
q3c,dfo,upside_down,10,1,L2c_ch16_scratch,cam1,0.3382,0.0901,3,
q3c,dfo,upside_down,20,1,L2c_ch16_scratch,cam1,0.4401,0.064,3,
q3c,dfo,upside_down,50,1,L2c_ch16_scratch,cam1,0.4843,0.1686,2,yes
q3c,langevin,top,5,1,L2c_ch16_scratch,cam1,0.8551,0.1451,5,
q3c,langevin,top,10,1,L2c_ch16_scratch,cam1,0.6271,0.2084,3,
q3c,langevin,top,20,1,L2c_ch16_scratch,cam1,0.6252,0.4123,4,
q3c,langevin,top,50,1,L2c_ch16_scratch,cam1,0.8634,0.1533,3,yes
q3c,langevin,bottom,5,1,L2c_ch16_scratch,cam1,0.852,0.0937,3,yes
q3c,langevin,bottom,10,1,L2c_ch16_scratch,cam1,0.4173,0.491,4,
q3c,langevin,bottom,20,1,L2c_ch16_scratch,cam1,0.8494,0.2381,5,
q3c,langevin,bottom,50,1,L2c_ch16_scratch,cam1,0.742,0.2156,3,
q3c,langevin,right,10,1,L2c_ch16_scratch,cam1,0.5321,0.0,1,yes
q3c,langevin,turned_left,5,1,L2c_ch16_scratch,cam1,0.6943,0.0643,3,
q3c,langevin,turned_left,10,1,L2c_ch16_scratch,cam1,0.6986,0.0199,3,
q3c,langevin,turned_left,20,1,L2c_ch16_scratch,cam1,0.7014,0.01,2,
q3c,langevin,turned_left,50,1,L2c_ch16_scratch,cam1,0.7138,0.0249,3,yes
q3c,langevin,turned_right,5,1,L2c_ch16_scratch,cam1,0.315,0.5456,3,
q3c,langevin,turned_right,10,1,L2c_ch16_scratch,cam1,0.9645,0.0154,3,yes
q3c,langevin,turned_right,20,1,L2c_ch16_scratch,cam1,0.9565,0.0095,3,
q3c,langevin,turned_right,50,1,L2c_ch16_scratch,cam1,0.7062,0.4729,4,
q3c,langevin,upside_down,5,1,L2c_ch16_scratch,cam1,0.4721,0.0794,3,
q3c,langevin,upside_down,10,1,L2c_ch16_scratch,cam1,0.4783,0.1251,3,yes
q3c,langevin,upside_down,20,1,L2c_ch16_scratch,cam1,0.4467,0.0248,3,
q3c,langevin,upside_down,50,1,L2c_ch16_scratch,cam1,0.4043,0.1163,3,
ibc,dfo,top,5,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,cam1,0.9069,0.15,6,
ibc,dfo,top,5,2,Ibc2c16_c256_imnet,cam1,0.8072,0.2688,3,
ibc,dfo,top,5,4,Ibc2c16_c256_imnet,cam1,0.7338,0.2014,3,
ibc,dfo,top,5,8,Ibc2c16_c256_imnet,cam1,0.7201,0.3431,4,
ibc,dfo,top,10,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,cam1,0.9567,0.0336,6,yes
ibc,dfo,top,10,2,Ibc2c16_c256_imnet,cam1,0.8929,0.1209,3,
ibc,dfo,top,10,4,Ibc2c16_c256_imnet,cam1,0.9484,0.0372,2,
ibc,dfo,top,10,8,Ibc2c16_c256_imnet,cam1,0.7193,0.3487,2,
ibc,dfo,top,25,1,Ibc2c_c256_imnet,cam1,0.9532,0.0008,2,
ibc,dfo,bottom,5,1,Ibc2c_c256_imnet,cam1,0.6955,0.2779,3,
ibc,dfo,bottom,5,2,Ibc2c16_c256_imnet,cam1,0.7569,0.235,3,
ibc,dfo,bottom,5,4,Ibc2c16_c256_imnet,cam1,0.2002,0.032,2,
ibc,dfo,bottom,5,8,Ibc2c16_c256_imnet,cam1,0.3286,0.3365,3,
ibc,dfo,bottom,10,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,cam1,0.9072,0.0899,5,
ibc,dfo,bottom,10,2,Ibc2c16_c256_imnet,cam1,0.7526,0.1667,2,
ibc,dfo,bottom,10,4,Ibc2c16_c256_imnet,cam1,0.4083,0.0769,2,
ibc,dfo,bottom,10,8,Ibc2c16_c256_imnet,cam1,0.1411,0.1273,2,
ibc,dfo,bottom,25,1,Ibc2c_c256_imnet,cam1,0.9545,0.0304,2,yes
ibc,dfo,left,5,1,Ibc2c_c256_imnet,cam1,0.9295,0.0741,3,
ibc,dfo,left,5,2,Ibc2c16_c256_imnet,cam1,0.9153,0.0098,2,
ibc,dfo,left,5,4,Ibc2c16_c256_imnet,cam1,0.9399,0.019,3,
ibc,dfo,left,5,8,Ibc2c16_c256_imnet,cam1,0.321,0.5303,3,
ibc,dfo,left,10,1,Ibc2c16_c256_imnet|Ibc2c_c256_imnet,cam1,0.6701,0.3118,4,
ibc,dfo,left,10,2,Ibc2c16_c256_imnet,cam1,0.853,0.1357,3,
ibc,dfo,left,10,4,Ibc2c16_c256_imnet,cam1,0.931,0.0403,3,
ibc,dfo,left,10,8,Ibc2c16_c256_imnet,cam1,0.8457,0.1734,3,
ibc,dfo,left,25,1,Ibc2c_c256_imnet,cam1,0.9483,0.0029,2,yes
ibc,dfo,right,5,1,Ibc2c_c256_imnet,cam1,0.5127,0.0055,2,yes
ibc,dfo,right,5,2,Ibc2c16_c256_imnet,cam1,0.5069,0.3007,4,
ibc,dfo,right,5,4,Ibc2c16_c256_imnet,cam1,0.4785,0.1653,3,
ibc,dfo,right,5,8,Ibc2c16_c256_imnet,cam1,0.3864,0.4624,3,
ibc,dfo,right,10,1,Ibc2c_c256_imnet,cam1,0.4993,0.0461,2,
ibc,dfo,right,10,2,Ibc2c16_c256_imnet,cam1,0.387,0.0958,2,
ibc,dfo,right,10,4,Ibc2c16_c256_imnet,cam1,0.0197,0.0015,2,
