==========================================
Batch:   pushtWidowXdpCam1
Tag:     003
Node:    d14-17
JobId:   10553489
Start:   Fri Jul 24 15:21:09 PDT 2026
==========================================
Dataset:    /home1/halbertb/Q3CIBC/data/pusht_widowx_data.zip  (format=zarr_video)
Seed:       11   tag=e03_conv_s11
Pred type:  v
Idle filter:drop_zero (eps=0.0)
Config:     /home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e03_conv_s11/config.json
Checkpoints:/home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e03_conv_s11
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=train (15/150 episodes held out); idle_filter='drop_zero' -> 49981/72988 transitions kept (68.5%); zero-action share now 0.0%
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=val (15/150 episodes held out); idle_filter='drop_zero' -> 5440/72988 transitions kept (7.5%); zero-action share now 0.0%
Held-out val: 5440 samples (10% of episodes, seed 0)
PixelDiffusionDenoiser (conv_maxpool x1cam + DenseResnet 1024x1, v-pred): 2,428,578 params
Training 750000 steps: batch=128, lr=0.0003 (cosine -> 1e-06), T=100 cosine, EMA 0.999
  Step 74000/750000 | Loss: 0.125756 | LR: 2.93e-04 | 16505.3s
  Step 74500/750000 | Loss: 0.126310 | LR: 2.93e-04 | 16612.3s
  Step 75000/750000 | Loss: 0.125871 | LR: 2.93e-04 | 16718.7s
  [val] step 75000/750000 | held-out sampled-action MAE (ddim5): 0.24286
  Step 75500/750000 | Loss: 0.125099 | LR: 2.93e-04 | 16837.1s
  Step 76000/750000 | Loss: 0.125881 | LR: 2.92e-04 | 16943.5s
  Step 76500/750000 | Loss: 0.123001 | LR: 2.92e-04 | 17050.5s
  Step 77000/750000 | Loss: 0.123857 | LR: 2.92e-04 | 17156.9s
  Step 77500/750000 | Loss: 0.121346 | LR: 2.92e-04 | 17263.3s
  Step 78000/750000 | Loss: 0.124563 | LR: 2.92e-04 | 17369.5s
  Step 78500/750000 | Loss: 0.122154 | LR: 2.92e-04 | 17477.0s
  Step 79000/750000 | Loss: 0.119414 | LR: 2.92e-04 | 17584.0s
  Step 79500/750000 | Loss: 0.121485 | LR: 2.92e-04 | 17690.9s
  Step 80000/750000 | Loss: 0.121215 | LR: 2.92e-04 | 17797.5s
  Step 80500/750000 | Loss: 0.122465 | LR: 2.92e-04 | 17904.0s
  Step 81000/750000 | Loss: 0.121258 | LR: 2.91e-04 | 18011.6s
  Step 81500/750000 | Loss: 0.121330 | LR: 2.91e-04 | 18119.9s
  Step 82000/750000 | Loss: 0.119716 | LR: 2.91e-04 | 18227.9s
  Step 82500/750000 | Loss: 0.119610 | LR: 2.91e-04 | 18335.8s
  Step 83000/750000 | Loss: 0.121699 | LR: 2.91e-04 | 18443.2s
  Step 83500/750000 | Loss: 0.117999 | LR: 2.91e-04 | 18550.5s
  Step 84000/750000 | Loss: 0.118294 | LR: 2.91e-04 | 18657.0s
  Step 84500/750000 | Loss: 0.118986 | LR: 2.91e-04 | 18763.9s
  Step 85000/750000 | Loss: 0.117708 | LR: 2.91e-04 | 18870.2s
  Step 85500/750000 | Loss: 0.117257 | LR: 2.91e-04 | 18975.8s
  Step 86000/750000 | Loss: 0.116464 | LR: 2.90e-04 | 19083.2s
  Step 86500/750000 | Loss: 0.117377 | LR: 2.90e-04 | 19189.4s
  Step 87000/750000 | Loss: 0.118704 | LR: 2.90e-04 | 19297.4s
  Step 87500/750000 | Loss: 0.114537 | LR: 2.90e-04 | 19403.2s
  Step 88000/750000 | Loss: 0.115019 | LR: 2.90e-04 | 19509.9s
  Step 88500/750000 | Loss: 0.112634 | LR: 2.90e-04 | 19616.7s
  Step 89000/750000 | Loss: 0.114099 | LR: 2.90e-04 | 19723.5s
  Step 89500/750000 | Loss: 0.116663 | LR: 2.90e-04 | 19830.8s
  Step 90000/750000 | Loss: 0.113984 | LR: 2.90e-04 | 19938.4s
  Step 90500/750000 | Loss: 0.112079 | LR: 2.89e-04 | 20046.5s
  Step 91000/750000 | Loss: 0.115972 | LR: 2.89e-04 | 20153.6s
  Step 91500/750000 | Loss: 0.113767 | LR: 2.89e-04 | 20260.5s
  Step 92000/750000 | Loss: 0.114271 | LR: 2.89e-04 | 20369.4s
  Step 92500/750000 | Loss: 0.114046 | LR: 2.89e-04 | 20479.7s
  Step 93000/750000 | Loss: 0.110977 | LR: 2.89e-04 | 20586.7s
  Step 93500/750000 | Loss: 0.115270 | LR: 2.89e-04 | 20694.5s
  Step 94000/750000 | Loss: 0.112750 | LR: 2.89e-04 | 20801.1s
  Step 94500/750000 | Loss: 0.112176 | LR: 2.88e-04 | 20905.8s
  Step 95000/750000 | Loss: 0.110618 | LR: 2.88e-04 | 21009.8s
  Step 95500/750000 | Loss: 0.111110 | LR: 2.88e-04 | 21114.2s
  Step 96000/750000 | Loss: 0.111036 | LR: 2.88e-04 | 21217.6s
  Step 96500/750000 | Loss: 0.111409 | LR: 2.88e-04 | 21320.7s
  Step 97000/750000 | Loss: 0.109917 | LR: 2.88e-04 | 21424.2s
  Step 97500/750000 | Loss: 0.108759 | LR: 2.88e-04 | 21527.3s
  Step 98000/750000 | Loss: 0.105416 | LR: 2.88e-04 | 21631.2s
  Step 98500/750000 | Loss: 0.111690 | LR: 2.87e-04 | 21735.4s
  Step 99000/750000 | Loss: 0.106855 | LR: 2.87e-04 | 21839.8s
  Step 99500/750000 | Loss: 0.109605 | LR: 2.87e-04 | 21944.7s
  Step 100000/750000 | Loss: 0.108894 | LR: 2.87e-04 | 22051.5s
  [val] step 100000/750000 | held-out sampled-action MAE (ddim5): 0.24312
  Step 100500/750000 | Loss: 0.107766 | LR: 2.87e-04 | 22169.0s
  Step 101000/750000 | Loss: 0.106848 | LR: 2.87e-04 | 22276.5s
  Step 101500/750000 | Loss: 0.108722 | LR: 2.87e-04 | 22383.8s
  Step 102000/750000 | Loss: 0.105940 | LR: 2.87e-04 | 22490.3s
  Step 102500/750000 | Loss: 0.107572 | LR: 2.86e-04 | 22597.2s
  Step 103000/750000 | Loss: 0.107631 | LR: 2.86e-04 | 22704.4s
  Step 103500/750000 | Loss: 0.107635 | LR: 2.86e-04 | 22811.2s
  Step 104000/750000 | Loss: 0.106204 | LR: 2.86e-04 | 22918.0s
  Step 104500/750000 | Loss: 0.103703 | LR: 2.86e-04 | 23026.1s
  Step 105000/750000 | Loss: 0.105189 | LR: 2.86e-04 | 23133.1s
  Step 105500/750000 | Loss: 0.103216 | LR: 2.86e-04 | 23239.8s
  Step 106000/750000 | Loss: 0.107250 | LR: 2.86e-04 | 23346.7s
  Step 106500/750000 | Loss: 0.106579 | LR: 2.85e-04 | 23453.2s
  Step 107000/750000 | Loss: 0.105998 | LR: 2.85e-04 | 23560.4s
  Step 107500/750000 | Loss: 0.104537 | LR: 2.85e-04 | 23666.8s
  Step 108000/750000 | Loss: 0.106339 | LR: 2.85e-04 | 23773.1s
  Step 108500/750000 | Loss: 0.103995 | LR: 2.85e-04 | 23880.7s
  Step 109000/750000 | Loss: 0.103565 | LR: 2.85e-04 | 23988.0s
  Step 109500/750000 | Loss: 0.101705 | LR: 2.85e-04 | 24094.8s
  Step 110000/750000 | Loss: 0.102925 | LR: 2.84e-04 | 24201.6s
  Step 110500/750000 | Loss: 0.102500 | LR: 2.84e-04 | 24308.4s
  Step 111000/750000 | Loss: 0.101310 | LR: 2.84e-04 | 24414.8s
  Step 111500/750000 | Loss: 0.101099 | LR: 2.84e-04 | 24521.5s
  Step 112000/750000 | Loss: 0.101674 | LR: 2.84e-04 | 24628.4s
  Step 112500/750000 | Loss: 0.101639 | LR: 2.84e-04 | 24734.7s
  Step 113000/750000 | Loss: 0.104335 | LR: 2.84e-04 | 24842.1s
  Step 113500/750000 | Loss: 0.101323 | LR: 2.83e-04 | 24949.0s
  Step 114000/750000 | Loss: 0.099172 | LR: 2.83e-04 | 25056.1s
  Step 114500/750000 | Loss: 0.099678 | LR: 2.83e-04 | 25163.0s
  Step 115000/750000 | Loss: 0.098796 | LR: 2.83e-04 | 25270.6s
  Step 115500/750000 | Loss: 0.098436 | LR: 2.83e-04 | 25378.5s
  Step 116000/750000 | Loss: 0.101974 | LR: 2.83e-04 | 25485.7s
  Step 116500/750000 | Loss: 0.099349 | LR: 2.83e-04 | 25592.7s
  Step 117000/750000 | Loss: 0.096642 | LR: 2.82e-04 | 25698.6s
  Step 117500/750000 | Loss: 0.097898 | LR: 2.82e-04 | 25805.6s
  Step 118000/750000 | Loss: 0.099128 | LR: 2.82e-04 | 25911.8s
  Step 118500/750000 | Loss: 0.099874 | LR: 2.82e-04 | 26018.5s
  Step 119000/750000 | Loss: 0.098022 | LR: 2.82e-04 | 26125.3s
  Step 119500/750000 | Loss: 0.099836 | LR: 2.82e-04 | 26233.2s
  Step 120000/750000 | Loss: 0.098302 | LR: 2.82e-04 | 26340.2s
  Step 120500/750000 | Loss: 0.098671 | LR: 2.81e-04 | 26446.7s
  Step 121000/750000 | Loss: 0.098062 | LR: 2.81e-04 | 26553.0s
  Step 121500/750000 | Loss: 0.099162 | LR: 2.81e-04 | 26659.4s
  Step 122000/750000 | Loss: 0.097938 | LR: 2.81e-04 | 26765.5s
  Step 122500/750000 | Loss: 0.097337 | LR: 2.81e-04 | 26872.9s
  Step 123000/750000 | Loss: 0.098150 | LR: 2.81e-04 | 26979.7s
  Step 123500/750000 | Loss: 0.097550 | LR: 2.80e-04 | 27086.6s
  Step 124000/750000 | Loss: 0.095510 | LR: 2.80e-04 | 27193.6s
  Step 124500/750000 | Loss: 0.095138 | LR: 2.80e-04 | 27300.1s
  Step 125000/750000 | Loss: 0.093997 | LR: 2.80e-04 | 27406.8s
  [val] step 125000/750000 | held-out sampled-action MAE (ddim5): 0.24235
  Step 125500/750000 | Loss: 0.094418 | LR: 2.80e-04 | 27525.2s
  Step 126000/750000 | Loss: 0.098962 | LR: 2.80e-04 | 27631.8s
  Step 126500/750000 | Loss: 0.094370 | LR: 2.79e-04 | 27738.7s
  Step 127000/750000 | Loss: 0.094180 | LR: 2.79e-04 | 27844.8s
  Step 127500/750000 | Loss: 0.096315 | LR: 2.79e-04 | 27951.7s
  Step 128000/750000 | Loss: 0.094674 | LR: 2.79e-04 | 28058.9s
  Step 128500/750000 | Loss: 0.094903 | LR: 2.79e-04 | 28165.6s
  Step 129000/750000 | Loss: 0.096600 | LR: 2.79e-04 | 28272.4s
  Step 129500/750000 | Loss: 0.095323 | LR: 2.79e-04 | 28379.2s
  Step 130000/750000 | Loss: 0.096778 | LR: 2.78e-04 | 28486.2s
  Step 130500/750000 | Loss: 0.095079 | LR: 2.78e-04 | 28593.0s
  Step 131000/750000 | Loss: 0.094113 | LR: 2.78e-04 | 28699.9s
  Step 131500/750000 | Loss: 0.092762 | LR: 2.78e-04 | 28806.9s
  Step 132000/750000 | Loss: 0.090290 | LR: 2.78e-04 | 28914.0s
  Step 132500/750000 | Loss: 0.090015 | LR: 2.78e-04 | 29021.1s
  Step 133000/750000 | Loss: 0.092327 | LR: 2.77e-04 | 29128.2s
  Step 133500/750000 | Loss: 0.093384 | LR: 2.77e-04 | 29235.2s
  Step 134000/750000 | Loss: 0.091867 | LR: 2.77e-04 | 29342.3s
  Step 134500/750000 | Loss: 0.094275 | LR: 2.77e-04 | 29448.8s
  Step 135000/750000 | Loss: 0.091149 | LR: 2.77e-04 | 29556.0s
  Step 135500/750000 | Loss: 0.089132 | LR: 2.77e-04 | 29663.0s
  Step 136000/750000 | Loss: 0.089670 | LR: 2.76e-04 | 29770.0s
  Step 136500/750000 | Loss: 0.094423 | LR: 2.76e-04 | 29876.4s
  Step 137000/750000 | Loss: 0.089429 | LR: 2.76e-04 | 29983.0s
  Step 137500/750000 | Loss: 0.091362 | LR: 2.76e-04 | 30089.5s
  Step 138000/750000 | Loss: 0.090968 | LR: 2.76e-04 | 30196.7s
  Step 138500/750000 | Loss: 0.092446 | LR: 2.76e-04 | 30303.2s
  Step 139000/750000 | Loss: 0.090559 | LR: 2.75e-04 | 30410.2s
  Step 139500/750000 | Loss: 0.089614 | LR: 2.75e-04 | 30516.8s
  Step 140000/750000 | Loss: 0.089550 | LR: 2.75e-04 | 30623.3s
  Step 140500/750000 | Loss: 0.089888 | LR: 2.75e-04 | 30729.5s
  Step 141000/750000 | Loss: 0.089772 | LR: 2.75e-04 | 30836.4s
  Step 141500/750000 | Loss: 0.088846 | LR: 2.74e-04 | 30943.3s
  Step 142000/750000 | Loss: 0.091853 | LR: 2.74e-04 | 31050.5s
