==========================================
Batch:   pushtWidowXdpCam1_resnet350k
Tag:     001
Node:    a02-01
JobId:   10590752
Start:   Sat Jul 25 22:18:16 PDT 2026
==========================================
Dataset:    /home1/halbertb/Q3CIBC/data/pusht_widowx_data.zip  (format=zarr_video)
Seed:       11   tag=e01_resnet18_s11_350k
Pred type:  v
Idle filter:drop_zero (eps=0.0)
Config:     /home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e01_resnet18_s11_350k/config.json
Checkpoints:/home1/halbertb/Q3CIBC/checkpoints/pusht_real_dp/e01_resnet18_s11_350k
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=train (15/150 episodes held out); idle_filter='drop_zero' -> 49981/72988 transitions kept (68.5%); zero-action share now 0.0%
PushTWidowXVideoDataset: 150 episodes, 72988 frames, cameras=[1], frame_stack=2, action_chunk=1, action_shape=2, state_shape=(6, 240, 320), raw action range=[-0.008 -0.008] -> [0.008 0.008]
  split=val (15/150 episodes held out); idle_filter='drop_zero' -> 5440/72988 transitions kept (7.5%); zero-action share now 0.0%
Held-out val: 5440 samples (10% of episodes, seed 0)
PixelDiffusionDenoiser (resnet18-imagenet x1cam + DenseResnet 1024x1, v-pred): 13,248,642 params
Training 350000 steps: batch=128, lr=0.0003 (cosine -> 1e-06), T=100 cosine, EMA 0.999
  Step 49000/350000 | Loss: 0.058275 | LR: 2.86e-04 | 17648.0s
  Step 49500/350000 | Loss: 0.056516 | LR: 2.85e-04 | 17825.6s
  Step 50000/350000 | Loss: 0.056335 | LR: 2.85e-04 | 18004.1s
  [val] step 50000/350000 | held-out sampled-action MAE (ddim5): 0.47257
  Step 50500/350000 | Loss: 0.054311 | LR: 2.85e-04 | 18203.3s
  Step 51000/350000 | Loss: 0.055284 | LR: 2.85e-04 | 18375.2s
  Step 51500/350000 | Loss: 0.054819 | LR: 2.84e-04 | 18567.5s
  Step 52000/350000 | Loss: 0.055064 | LR: 2.84e-04 | 18763.3s
  Step 52500/350000 | Loss: 0.054952 | LR: 2.84e-04 | 18957.9s
  Step 53000/350000 | Loss: 0.054083 | LR: 2.83e-04 | 19150.7s
  Step 53500/350000 | Loss: 0.054866 | LR: 2.83e-04 | 19344.3s
  Step 54000/350000 | Loss: 0.053829 | LR: 2.83e-04 | 19538.4s
  Step 54500/350000 | Loss: 0.053727 | LR: 2.82e-04 | 19734.1s
  Step 55000/350000 | Loss: 0.054045 | LR: 2.82e-04 | 19930.8s
  Step 55500/350000 | Loss: 0.053908 | LR: 2.82e-04 | 20129.4s
  Step 56000/350000 | Loss: 0.053806 | LR: 2.82e-04 | 20324.2s
  Step 56500/350000 | Loss: 0.053240 | LR: 2.81e-04 | 20518.6s
  Step 57000/350000 | Loss: 0.053228 | LR: 2.81e-04 | 20715.0s
  Step 57500/350000 | Loss: 0.054232 | LR: 2.81e-04 | 20909.5s
  Step 58000/350000 | Loss: 0.052618 | LR: 2.80e-04 | 21103.9s
  Step 58500/350000 | Loss: 0.054063 | LR: 2.80e-04 | 21299.7s
  Step 59000/350000 | Loss: 0.052488 | LR: 2.80e-04 | 21496.2s
  Step 59500/350000 | Loss: 0.051994 | LR: 2.79e-04 | 21693.4s
  Step 60000/350000 | Loss: 0.051724 | LR: 2.79e-04 | 21891.4s
  Step 60500/350000 | Loss: 0.051421 | LR: 2.78e-04 | 22089.3s
  Step 61000/350000 | Loss: 0.049001 | LR: 2.78e-04 | 22284.7s
  Step 61500/350000 | Loss: 0.050089 | LR: 2.78e-04 | 22470.0s
  Step 62000/350000 | Loss: 0.050860 | LR: 2.77e-04 | 22636.4s
  Step 62500/350000 | Loss: 0.050659 | LR: 2.77e-04 | 22807.8s
  Step 63000/350000 | Loss: 0.050909 | LR: 2.77e-04 | 22983.0s
  Step 63500/350000 | Loss: 0.051288 | LR: 2.76e-04 | 23157.0s
  Step 64000/350000 | Loss: 0.050220 | LR: 2.76e-04 | 23332.6s
  Step 64500/350000 | Loss: 0.050584 | LR: 2.76e-04 | 23508.3s
  Step 65000/350000 | Loss: 0.049535 | LR: 2.75e-04 | 23682.9s
  Step 65500/350000 | Loss: 0.050789 | LR: 2.75e-04 | 23858.0s
  Step 66000/350000 | Loss: 0.049270 | LR: 2.75e-04 | 24031.8s
  Step 66500/350000 | Loss: 0.049915 | LR: 2.74e-04 | 24206.0s
  Step 67000/350000 | Loss: 0.048263 | LR: 2.74e-04 | 24379.0s
  Step 67500/350000 | Loss: 0.048692 | LR: 2.73e-04 | 24554.0s
  Step 68000/350000 | Loss: 0.050364 | LR: 2.73e-04 | 24727.9s
  Step 68500/350000 | Loss: 0.048116 | LR: 2.73e-04 | 24903.0s
  Step 69000/350000 | Loss: 0.048410 | LR: 2.72e-04 | 25080.4s
  Step 69500/350000 | Loss: 0.047299 | LR: 2.72e-04 | 25256.5s
  Step 70000/350000 | Loss: 0.046910 | LR: 2.71e-04 | 25432.9s
  Step 70500/350000 | Loss: 0.048891 | LR: 2.71e-04 | 25609.2s
  Step 71000/350000 | Loss: 0.048357 | LR: 2.71e-04 | 25786.3s
  Step 71500/350000 | Loss: 0.047756 | LR: 2.70e-04 | 25961.7s
  Step 72000/350000 | Loss: 0.047031 | LR: 2.70e-04 | 26137.0s
  Step 72500/350000 | Loss: 0.047402 | LR: 2.69e-04 | 26310.4s
  Step 73000/350000 | Loss: 0.046498 | LR: 2.69e-04 | 26483.4s
  Step 73500/350000 | Loss: 0.045169 | LR: 2.69e-04 | 26660.5s
  Step 74000/350000 | Loss: 0.044722 | LR: 2.68e-04 | 26842.4s
  Step 74500/350000 | Loss: 0.044540 | LR: 2.68e-04 | 27022.9s
  Step 75000/350000 | Loss: 0.045394 | LR: 2.67e-04 | 27202.0s
  [val] step 75000/350000 | held-out sampled-action MAE (ddim5): 0.45284
  Step 75500/350000 | Loss: 0.046446 | LR: 2.67e-04 | 27403.0s
  Step 76000/350000 | Loss: 0.046065 | LR: 2.67e-04 | 27584.6s
  Step 76500/350000 | Loss: 0.045024 | LR: 2.66e-04 | 27765.5s
  Step 77000/350000 | Loss: 0.045686 | LR: 2.66e-04 | 27945.0s
  Step 77500/350000 | Loss: 0.043974 | LR: 2.65e-04 | 28125.4s
  Step 78000/350000 | Loss: 0.046264 | LR: 2.65e-04 | 28306.7s
